Date,Startup_Name,Industry_Vertical,SubVertical,City_Location,Investors_Name,Investment_Type,Amount_USD,Remarks,Year,amount_category,investor_count
2017-08-29,Fieldassist,Technology,SAAS based sales force automation services,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt Funding,6600799.0,No Remark,2017,Medium,1
2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,750000.0,No Remark,2017,Low,4
2017-08-29,CureFit,Consumer Internet,End to End health and wellness platform.,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private Equity,25000000.0,No Remark,2017,High,4
2017-07-19,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,10000000.0,No Remark,2017,Medium,2
2017-07-18,Hypernova Interactive,Technology,Mobile games creator,Bangalore,Kae Capital,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-07-18,Ideal Insurance,Consumer Internet,Online Insurance platform,Kolkata,Xelpmoc,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-07-18,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,1529113.0,No Remark,2017,Medium,2
2017-07-18,MObiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,25795550.0,No Remark,2017,High,1
2017-07-17,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,4000000.0,No Remark,2017,Medium,2
2017-07-17,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,2000000.0,No Remark,2017,Medium,5
2017-07-14,Chumbak,Technology,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,1700000.0,No Remark,2017,Medium,1
2017-07-14,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,540000.0,No Remark,2017,Low,5
2017-07-12,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-07-12,Bottr.me,Technology,Chatbot creation tool,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,1529113.0,No Remark,2017,Medium,4
2017-07-12,VDeliver,Technology,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,25795550.0,No Remark,2017,High,2
2017-07-12,Innoviti,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000.0,No Remark,2017,High,3
2017-07-11,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,1529113.0,No Remark,2017,Medium,4
2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000.0,No Remark,2017,Low,4
2017-07-11,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000.0,No Remark,2017,Medium,1
2017-07-28,Gympik.com,Consumer Internet,online marketplace for discovering fitness centres,Bangalore,RoundGlass Partners,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-07-28,BigStylist,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,1250000.0,No Remark,2017,Medium,1
2017-07-28,Jhakaas,Consumer Internet,App-based Aggregator of Offline Businesses,Mumbai,Amen Dhyllon,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-07-27,1mg,Technology,Online Pharmacy,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,15000000.0,No Remark,2017,High,4
2017-07-26,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,200000.0,No Remark,2017,Low,2
2017-07-26,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,25000000.0,No Remark,2017,High,1
2017-07-26,Creator\\xe2\\x80\\x99s Gurukul,Others,Co-Working Space Provider,New Delhi,Yuvraj Singh,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-07-25,Byju\\xe2\\x80\\x99s,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,35000000.0,No Remark,2017,High,1
2017-07-25,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,"Stellaris Venture Partners,",Private Equity,1200000.0,No Remark,2017,Medium,2
2017-07-21,MonkeyBox,Consumer Internet,Healthy Food Delivery Platform,Bangalore,"Blume Ventures, NB Ventures, Nspira",Seed Funding,1529113.0,No Remark,2017,Medium,3
2017-07-21,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,1529113.0,No Remark,2017,Medium,4
2017-07-21,FableStreet,Technology,Women Work wear etailer,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,1529113.0,No Remark,2017,Medium,3
2017-07-21,Brick2Wall,Technology,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,200000.0,No Remark,2017,Low,3
2017-07-20,Trupay,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,700000.0,No Remark,2017,Low,3
2017-07-19,Playablo,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,600000.0,No Remark,2017,Low,1
2017-07-19,AirCTO,Consumer Internet,AI powered recruitment platform,Bangalore,Francesco Cara,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-06-08,ABI Health,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,1500000.0,No Remark,2017,Medium,1
2017-06-08,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,1500000.0,No Remark,2017,Medium,1
2017-06-08,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,232000.0,No Remark,2017,Low,1
2017-06-07,GrowFitter,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,600000.0,No Remark,2017,Low,1
2017-06-07,ZipLoan,Consumer Internet,Online lending platform,New Delhi,WaterBridge Ventures,Seed Funding,650000.0,No Remark,2017,Low,1
2017-06-06,Hungry Foal,Consumer Internet,For profit Social Venture,Gurgaon,SBI (Stand Up India Scheme),Private Equity,25795550.0,No Remark,2017,High,1
2017-06-06,GyanDhan,Consumer Internet,Education Marketplace,New Delhi,Sundaram Finance Holdings,Private Equity,25795550.0,No Remark,2017,High,1
2017-06-06,wayForward,Consumer Internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,1000000.0,No Remark,2017,Medium,3
2017-06-06,BHIVE Workspace,Consumer Internet,co-working spaces,Bangalore,Blume Ventures,Private Equity,1200000.0,No Remark,2017,Medium,1
2017-06-06,Ftcash,Consumer Internet,Mobile Payments platform,Mumbai,"500 Startups, IvyCap Ventures",Private Equity,25795550.0,No Remark,2017,High,2
2017-06-06,Healthbuds,Consumer Internet,Healthcare Discovery & booking platform,Kolkata,"Arun Patodia, Bharat Kedia",Seed Funding,1529113.0,No Remark,2017,Medium,2
2017-06-06,Spinny,Technology,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,1000000.0,No Remark,2017,Medium,4
2017-06-05,MaxMyWealth,Consumer Internet,Online Wealth Management & Savings platform,Mumbai,"lockchain ecosystem Global Advisors, Horseferry",Private Equity,25795550.0,No Remark,2017,High,2
2017-06-05,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,50000000.0,No Remark,2017,High,1
2017-06-02,RentOnGo,Technology,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,Seed Funding,234000.0,No Remark,2017,Low,1
2017-06-01,Tripeur,Technology,Mobile based travel ERP platform,Bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed Funding,1529113.0,No Remark,2017,Medium,2
2017-06-15,MoneyTap,Consumer Internet,Money Lending platform,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,12300000.0,No Remark,2017,High,3
2017-06-14,MrNeeds,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,500000.0,No Remark,2017,Low,1
2017-06-14,Vanitycask,Consumer Internet,Beauty products discovery platform,Mumbai,RB Investments,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-06-14,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,50000000.0,No Remark,2017,High,1
2017-06-13,Digit,Technology,Tech driven Insurance platform,Bangalore,Fairfax Holdings,Private Equity,25795550.0,No Remark,2017,High,1
2017-06-13,Goodera,Technology,CSR and sustainability management platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,5500000.0,No Remark,2017,Medium,2
2017-06-13,HyperTrack,Technology,Location tracking solutions,New Delhi,"Nexus Venture Partners, Founders Fund",Private Equity,25795550.0,No Remark,2017,High,2
2017-06-12,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,15000000.0,No Remark,2017,High,1
2017-06-12,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,776000.0,No Remark,2017,Low,4
2017-06-12,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,1000000.0,No Remark,2017,Medium,4
2017-06-12,Boxx.ai,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,500000.0,No Remark,2017,Low,4
2017-06-12,LendingKart,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,7800000.0,No Remark,2017,Medium,1
2017-06-12,Loanmeet,Consumer Internet,Online peer-to-peer lending platform,Bangalore,"Cao Yibin, Huang Wei, Madhusudan E,",Seed Funding,1529113.0,No Remark,2017,Medium,4
2017-06-09,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,250000.0,No Remark,2017,Low,2
2017-06-09,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,300000.0,No Remark,2017,Low,6
2017-06-08,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,350000.0,No Remark,2017,Low,4
2017-06-22,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,4600000.0,No Remark,2017,Medium,2
2017-06-21,OneAssist,Consumer Internet,Credit card fraud protection,Mumbai,Sequoia Capital,Private Equity,25795550.0,No Remark,2017,High,1
2017-06-21,mSwipe,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,31000000.0,No Remark,2017,High,4
2017-06-21,Fabulyst,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,215000.0,No Remark,2017,Low,1
2017-06-21,Grow Fit,Consumer Internet,Health-Tech platform,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4500000.0,No Remark,2017,Medium,3
2017-06-21,Fynd,Technology,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,2400000.0,No Remark,2017,Medium,7
2017-06-20,Insider.in,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,5200000.0,No Remark,2017,Medium,1
2017-06-20,ForeverShop,Consumer Internet,Mobile based ecommerce platform,Bangalore,91maker.com,Seed Funding,300000.0,No Remark,2017,Low,1
2017-06-19,DarwinBox,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,4000000.0,No Remark,2017,Medium,4
2017-06-19,Unbxd,Technology,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,12500000.0,No Remark,2017,High,1
2017-06-16,HealthIntel,Healthcare,Online Pharmacy,New Delhi,BLIP Initiatives,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-06-16,EazyDiner,Consumer Internet,Online Restaurant Reservation Platform,Gurgaon,YouWeCan Ventures,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-06-16,EdgeFx,Technology,DIY project Kits seller,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,1529113.0,No Remark,2017,Medium,3
2017-06-16,PortDesk,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,2000000.0,No Remark,2017,Medium,1
2017-06-16,Fincash,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,100000.0,No Remark,2017,Low,2
2017-06-16,Goodbox,Technology,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,1000000.0,No Remark,2017,Medium,2
2017-06-30,Tagos Design,Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,5000000.0,No Remark,2017,Medium,1
2017-06-29,ZingHR,Technology,"digital employee solutions,",Mumbai,Zeta,Private Equity,25795550.0,No Remark,2017,High,1
2017-06-29,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,1000000.0,No Remark,2017,Medium,2
2017-06-28,Niki.ai,Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,2000000.0,No Remark,2017,Medium,2
2017-06-28,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,3000000.0,No Remark,2017,Medium,2
2017-06-28,FiTraQ,Consumer Internet,Fitness Centre Discovery Platform,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,1529113.0,No Remark,2017,Medium,3
2017-06-27,Spares Hub,Technology,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,311000.0,No Remark,2017,Low,4
2017-06-27,Formcept,Consumer Internet,Unified Data Analysis platform,Bangalore,Gujarat Venture Finance Ltd,Private Equity,25795550.0,No Remark,2017,High,1
2017-06-27,Stashfin,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,5000000.0,No Remark,2017,Medium,2
2017-06-26,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,4000000.0,No Remark,2017,Medium,2
2017-06-26,Flipkart,Technology,Online marketplace,Bangalore,Naspers,Private Equity,71000000.0,No Remark,2017,High,1
2017-06-26,HUG Innovations,Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,5000000.0,No Remark,2017,Medium,4
2017-06-23,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,1000000.0,No Remark,2017,Medium,1
2017-06-23,Loantap,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,4000000.0,No Remark,2017,Medium,4
2017-06-22,Explore Life traveling,Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,500000.0,No Remark,2017,Low,4
2017-06-22,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,2000000.0,No Remark,2017,Medium,2
2017-05-08,YepMe,Technology,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,700000.0,No Remark,2017,Low,2
2017-05-05,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,233000.0,No Remark,2017,Low,1
2017-05-05,Good Methods Global,Technology,Cloud Based Practice Management Software,Trivandrum,Accel Partners,Private Equity,25795550.0,No Remark,2017,High,1
2017-05-05,i-lend,Consumer Internet,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-05,Uactive,Consumer Internet,Health-based social networking & discovery App,Mumbai,Hinduja family,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-05,HealthMir,Consumer Internet,AI-based health content platform,New Delhi,Nimit Panigrahi,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-04,Healthians,Consumer Internet,Online Diagnostics and wellness platform,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,25795550.0,No Remark,2017,High,5
2017-05-03,Sumeru,Technology,Software & Mobile development services,Bangalore,undisclosed investors,Seed Funding,1000000.0,No Remark,2017,Medium,1
2017-05-03,Ola,Consumer Internet,Cab Aggregation App,Bangalore,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,104500000.0,No Remark,2017,High,2
2017-05-02,ZippServe,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding,390000.0,No Remark,2017,Low,1
2017-05-02,SMECorner,Consumer Internet,Online Platform for small business loans,Mumbai,Dutch government fund,Private Equity,25795550.0,No Remark,2017,High,1
2017-05-02,4tigo,Technology,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,10000000.0,No Remark,2017,Medium,3
2017-05-02,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,1500000.0,No Remark,2017,Medium,1
2017-05-01,Power2SME,Technology,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,10000000.0,No Remark,2017,Medium,1
2017-05-01,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,73700000.0,No Remark,2017,High,1
2017-06-30,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,21000000.0,No Remark,2017,High,4
2017-05-11,Book My Diamond,Technology,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-11,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,4000000.0,No Remark,2017,Medium,2
2017-05-10,Chymera VR,Technology,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,1529113.0,No Remark,2017,Medium,3
2017-05-10,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,600000.0,No Remark,2017,Low,1
2017-05-10,Shopclues,Technology,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,7700000.0,No Remark,2017,Medium,1
2017-05-10,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,1400000.0,No Remark,2017,Medium,2
2017-05-10,Lucideus,Technology,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,1529113.0,No Remark,2017,Medium,7
2017-05-09,Sequretek,Technology,IT Security & Data Management Services,Mumbai,"GVFL, Unicorn India Ventures",Private Equity,25795550.0,No Remark,2017,High,2
2017-05-09,Anchanto,Technology,Ecommerce Fulfilment and Technology Platform,Pune,Luxasia Group,Private Equity,25795550.0,No Remark,2017,High,1
2017-05-09,Uncanny Vision,Technology,Computer Vision on Embedded Systems,Bangalore,Anand Chandrasekaran,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-09,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,50000.0,No Remark,2017,Low,1
2017-05-08,CureFit,Technology,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,3200000.0,No Remark,2017,Medium,6
2017-05-08,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,5000000.0,No Remark,2017,Medium,2
2017-05-08,MyGreens,FoodTech,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,1000000.0,No Remark,2017,Medium,2
2017-05-08,Devourin,Technology,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-08,Nightstay,Consumer Internet,Last minute hotel booking mobile app,New Delhi,"Indian Angels Network, LetsVenture",Seed Funding,1529113.0,No Remark,2017,Medium,2
2017-05-19,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,1000000.0,No Remark,2017,Medium,3
2017-05-18,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,1400000000.0,No Remark,2017,High,1
2017-05-18,PumpKart,Technology,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-18,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,1000000.0,No Remark,2017,Medium,2
2017-05-17,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,5300000.0,No Remark,2017,Medium,1
2017-05-17,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,250000.0,No Remark,2017,Low,1
2017-05-16,Fynd,Technology,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,500000.0,No Remark,2017,Low,1
2017-05-16,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,3000000.0,No Remark,2017,Medium,1
2017-05-16,Niki.ai,Technology,AI-based chatbot,Bangalore,SAP,Private Equity,25795550.0,No Remark,2017,High,1
2017-05-15,Vernacular.ai,Technology,Multi-lingual AI Platform for Businesses,Bangalore,Kstart Capital,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-15,Zapty,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,500000.0,No Remark,2017,Low,1
2017-05-12,Aequm,Technology,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding,1000000.0,No Remark,2017,Medium,1
2017-05-12,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,466000.0,No Remark,2017,Low,2
2017-05-12,Log 9 Materials,Technology,NanoTech product developer,Bangalore,GEMs,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-12,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,5000000.0,No Remark,2017,Medium,1
2017-05-11,ION Energy,Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,1529113.0,No Remark,2017,Medium,3
2017-05-30,Loadshare,Technology,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-29,Collateral Medical,Technology,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,3500000.0,No Remark,2017,Medium,1
2017-05-29,Wowflux,Technology,image Processing solution,New Delhi,Undisclosed Investors,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-29,Nivesh,Consumer Internet,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,1529113.0,No Remark,2017,Medium,3
2017-05-29,Cube Consumer Services,Consumer Internet,Finance management Mobile app,Mumbai,Unknown,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-26,WhatsLoan,Consumer Internet,Online Lending mobile app,Bangalore,Lahiri Music\\xe2\\x80\\x99s family office,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-25,Aye Finance,FinTech,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,8000000.0,No Remark,2017,Medium,1
2017-05-24,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,580000.0,No Remark,2017,Low,1
2017-05-23,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,1000000.0,No Remark,2017,Medium,1
2017-05-23,The Print,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,1529113.0,No Remark,2017,Medium,6
2017-05-23,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,6600000.0,No Remark,2017,Medium,3
2017-05-23,TravelSpice,ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,1529113.0,No Remark,2017,Medium,1
2017-05-22,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,500000.0,No Remark,2017,Low,2
2017-05-22,Delhivery,Technology,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,30000000.0,No Remark,2017,High,1
2017-05-20,YepMe,Technology,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,25795550.0,No Remark,2017,High,1
2017-05-19,HealthSutra,FoodTech,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,1529113.0,No Remark,2017,Medium,2
2017-04-04,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,500000.0,No Remark,2017,Low,2
2017-04-04,ElastiRun,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,7000000.0,No Remark,2017,Medium,2
2017-04-04,Whatfix,Technology,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,3690000.0,No Remark,2017,Medium,7
2017-04-04,Perfios,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,6100000.0,No Remark,2017,Medium,1
